id,start.x,start.y,end.x,end.y
0,177,93,610,94
1,595,102,652,101
2,337,117,396,115
3,310,135,368,133
4,349,148,405,148
5,302,162,360,161
6,360,167,419,166
7,595,178,824,176
8,544,197,726,196
9,165,225,294,226
10,556,211,818,214
11,289,231,439,233
12,413,216,469,216
13,459,207,516,209
14,344,187,402,185
15,405,178,460,179
16,476,175,535,174
17,449,190,508,188
18,524,184,582,183
19,333,244,493,246
20,122,294,367,292
21,227,312,391,310
22,155,330,392,329
23,120,347,390,349
24,491,220,550,219
25,477,232,536,229
26,549,230,738,229
27,606,246,666,245
28,488,252,551,249
29,514,267,573,263
30,380,257,381,302
31,404,256,406,445
32,424,257,428,406
33,446,262,451,442
34,388,458,448,455
35,419,517,475,519
36,476,280,535,281
37,458,293,518,293
38,568,277,624,279
39,533,293,593,291
40,584,305,642,309
41,521,319,584,314
42,558,327,611,327
43,588,340,649,337
44,625,349,683,345
45,613,343,781,441
46,613,367,812,477
47,478,358,581,360
48,465,375,596,374
49,459,392,642,394
50,476,411,674,410
51,460,428,692,428
52,472,445,727,442
53,461,464,744,464
54,726,476,780,471
55,467,480,705,480
56,706,487,756,487
57,738,503,796,502
58,488,498,723,496
59,708,686,771,685
60,741,704,803,711
61,812,872,880,911
